,count,mean,std,min,25%,50%,75%,max,kurtosis,skew,mito_id,compartment,mito_vx,surface_area,complexityindex,ctr_distance_to_soma,bbox_distance,centroid_y-ctr_y
0,412.0,7549.946157431951,8639.854810214189,0.0,2094.727667263042,3115.8760336190853,11187.223489872562,35096.821351797655,5.184927074567858,2.1677334755611346,1041410,Somatic,178320,2.452260622646113,11.17449602113047,1835.9087667964327,498.2579653151568,True
1,412.0,7855.783566829814,9646.754249615129,0.0,1351.7050692972527,2520.6623334378537,12814.966421317156,37426.76796091268,4.7588102348121435,2.081651543681546,1046344,Somatic,266012,4.701379714297358,35.38357525528868,1432.0013966473637,1011.3856831100586,False
2,412.0,8127.75641427248,9889.610370615666,0.0,1376.7716133233253,2553.3894150194424,13607.143033171964,37825.61550061016,4.52819918802644,2.0315420882345974,1157746,Somatic,1124628,12.548279043751103,37.64115162757423,1508.6659670052877,1788.2035678300165,False
3,412.0,20822.410209200883,6555.229558834127,0.0,17879.969179965443,23998.767152604538,25067.870732137555,31447.064664289417,-1.5718625929399908,-0.3330983715153539,854593,Apical,7921112,84.50862125879723,231.7709088139343,24145.46808409396,18747.58064391243,True
4,412.0,16154.864833074327,5144.996523858147,0.0,14479.11832550224,18205.286549207052,19155.591503834494,29647.61966836461,-0.7425565579766307,0.09913105169659558,887975,Apical,736920,7.671308179846485,20.030684290117613,18245.46201114129,1451.6115182789092,True
5,412.0,7461.263228426295,9044.013160829278,0.0,1739.9457777570033,2295.8030351708358,12010.798271118521,35456.53227544961,4.853545921147555,2.1024168791028077,1152072,Somatic,26696,0.7103794914605839,12.120123362859957,936.591693322122,517.069627806546,True
6,412.0,29893.58239634063,8762.650387647931,0.0,26112.61351275333,34234.4543867725,35296.12721967061,40696.20606395638,-1.7703322344598433,-0.49023718325049176,741136,Apical,1292044,14.15925326044104,40.9727038905934,34431.566519692366,2518.193002928886,True
7,412.0,7649.713452594227,9527.900454407294,0.0,1292.1066656000417,2050.551593654147,12831.692581608253,36584.733920038285,4.623765549997053,2.054892848162747,1157535,Somatic,311544,4.338768285655132,20.27630290612041,665.9106546677265,1040.832359220254,False
8,412.0,20509.180867929994,6590.836210534545,0.0,17102.96637935447,18027.599701226805,21862.398594412836,40410.11982164864,0.5396755470573362,0.6098260298436196,1613268,Basal,4972280,52.66035859164537,142.3208292668001,17279.395967452103,14446.849102832077,True
9,412.0,7505.259877288878,9036.359351962426,0.0,1797.2867647719027,2303.4367324542736,11921.586471072167,35473.93032918681,4.88486344822471,2.1084465321121946,1152210,Somatic,309224,3.932701168152044,15.326911044519536,993.5189983085376,1154.194091130257,True
10,412.0,19331.421511403765,5842.644506437333,0.0,18063.074329945135,19435.501799816033,20705.222262460084,41813.67857531791,0.8222303722534114,0.711712866442153,201174,Apical,308300,3.382751840018151,9.812768429788676,19643.30361726357,1099.6508536803851,True
