,count,mean,std,min,25%,50%,75%,max,kurtosis,skew,mito_id,compartment,mito_vx,surface_area,complexityindex,ctr_distance_to_soma,bbox_distance,centroid_y-ctr_y
0,389.0,16747.816863329335,7943.931627660149,0.0,9436.970117574814,14922.08108810564,23504.611143348026,36172.017195616834,0.41136425457698156,0.7822338864145498,2709493,Basal,1551368,19.332704282636268,72.33964088293834,8972.064645331084,3764.197656871913,True
1,389.0,15634.355905945271,7214.6760892108,0.0,12636.47723853448,14844.93314232166,17961.597256368932,44854.86850944945,3.3585141096068085,1.5526464973186829,2986624,Axonal,129656,1.919359604438002,10.134725615207024,14929.12619680067,661.619981560412,False
2,389.0,16190.802406489518,9795.023719183053,0.0,10466.582441274706,13426.392069353553,19699.749769984388,52884.09348755068,4.373871312219849,1.8760275290053652,3624467,Basal,24732,0.3631531854775607,1.886597615276487,13140.07321136378,169.1655993398185,False
3,389.0,24013.435495939913,8649.092210637593,0.0,20414.891256139475,24321.878628099435,28075.45570422678,45980.24903151352,-0.13737346883254276,0.32527961390414706,1693491,Axonal,23056,0.3403009096320056,1.7862802057213212,24528.638364165265,160.41508657230466,False
4,389.0,11074.491800595477,8958.677353775782,0.0,2188.9826404062687,11297.313840024097,17743.89351298074,40719.53737458224,3.453192541525855,1.7170989091614626,3063294,Somatic,126296,1.52328414478843,5.339391379408727,897.1287533013308,683.0549026249647,False
5,389.0,11121.131689876152,8989.408249057726,0.0,2367.22706980129,11070.247016214227,18034.071337332567,41425.22598610658,3.535054954104451,1.7437435850447394,3064503,Somatic,106448,1.5385134454520024,7.743852256263162,1210.7154909391388,528.6369264438496,False
6,389.0,18691.907568538234,7972.1231310012345,0.0,13905.351631656064,16278.01572674016,25450.72627647392,39357.34158959418,0.34387044601627537,0.6632207931514409,2137665,Basal,96256,1.5454968744355115,9.600126495553988,15041.816645605011,610.891970809897,True
7,389.0,20476.624045131048,7411.764201217555,0.0,18169.107105193696,21353.94652049124,22820.063277738736,44536.291269031375,0.8373978795697061,0.6987744368524006,2776969,Axonal,1288,0.0532317857645225,2.1908344615374094,21764.3768576084,54.81788029466298,False
8,389.0,19152.382335621314,6629.899758128746,0.0,16526.157206077885,19331.182607383336,22138.403284789983,39426.65225453462,0.3823166369875688,0.5484853255907749,2542143,Axonal,1432,0.0486629147537611,1.3540556119541567,19831.0869344068,53.0754180388624,False
9,389.0,15268.244096362065,7118.574217294988,0.0,12267.777141764518,14247.692023622632,17582.814023926887,44525.29911185325,3.50934364232317,1.600509176244855,2986627,Axonal,36088,0.6218943241535063,4.449921338544467,14309.577526957251,337.3188402683728,False
10,389.0,15914.539347685819,9635.236970925236,0.0,10681.218282574324,13244.724421444183,19227.663716634943,52435.980404680144,4.44658356817205,1.891269193372771,3628441,Basal,1728,0.064494097077315,2.164714406073198,13040.450183946872,72.58098924649622,False
11,389.0,17182.54620073723,9891.794745599273,0.0,11854.772709757028,15177.987350106732,20040.94122041178,54113.53447151646,4.200745718220306,1.8091163707118398,3629164,Basal,323800,4.709321568117146,24.002116173737846,15121.46451240752,1419.0334738828396,False
12,389.0,26598.363149396195,9964.843133323444,0.0,20342.145511228653,22871.17856604683,34043.922056660864,58918.37120117969,0.9333287376982566,0.8513672756765418,4043312,Basal,2088,0.0574069018708074,1.0455854297103708,21001.173800528388,55.06359959174482,True
13,389.0,11274.374335830165,8969.27980428601,0.0,2871.577441059182,10725.698159094354,17959.042875387317,42246.81868496136,3.760952742348051,1.800448448970349,3069411,Somatic,29948,0.4889118409061506,3.139671425099884,1870.0323526613115,235.56952264671253,False
14,389.0,14934.25335761626,6791.258517968096,0.0,10250.705000145112,12807.399267610892,20141.99324793849,33514.826450393564,0.9386967192427669,0.8861323624558998,2386888,Basal,654172,8.172045414025016,30.728162737771367,10673.361279372117,1394.0520076381656,False
15,389.0,19821.148534072243,8235.27311050786,0.0,16261.571664510167,20327.732485449527,22272.862972684943,49516.4269308681,2.120660853206229,1.1541312024331798,3110007,Axonal,15220,0.300131856005332,2.8121284851549286,20791.79039909743,164.30763828866873,False
16,389.0,13206.308208421624,6424.755340948186,0.0,9525.656302848638,10686.474442022496,15667.91476234154,41398.53302956519,4.167749406244464,1.822903236175129,2975645,Axonal,2428,0.0635042999350358,1.0467433638447214,10113.084840937508,51.468436929831086,False
17,389.0,11332.121965434666,8868.759056843832,0.0,2298.51082224992,11783.14270472865,17983.360670353024,39424.62382826246,3.076153265776999,1.616737123636257,2954114,Somatic,2660,0.0932701082837138,2.7630729573217034,1287.3445537228952,54.85435260760991,False
18,389.0,11396.08083877582,9182.062878405031,0.0,2457.096660695301,11106.445155854324,18210.588266170864,41788.21279978363,3.5187377938134663,1.7372038555130527,3064739,Somatic,2712,0.0774822580769331,1.5238970177769244,1097.4028430799694,74.9933330370107,False
19,389.0,12004.81896978385,8365.19045921622,0.0,3734.3438513345286,12067.960266755936,18154.19378545905,38061.36450523024,2.7910044856336595,1.531818026956127,2845131,Axonal,11332,0.2242452747037408,2.1158503717531567,3193.391927089439,160.17802595861892,True
20,389.0,18391.058896801365,10330.977911211807,0.0,12422.186643260517,16123.711762494391,22322.7475907425,55790.06926864314,3.8101708749052,1.7082674195731224,3739646,Basal,98128,1.5511115119518917,9.338375890590092,15763.432145316578,580.8726194270134,False
21,389.0,17936.95686384915,8428.514091943265,0.0,13433.835044394436,17522.175806674237,19895.18788551644,50426.22084788825,3.3182988935292954,1.5394915357535017,3315960,Axonal,28928,0.4302040929678159,2.292529743721285,17979.736622097666,203.1575743111736,False
22,389.0,13558.05701084564,7616.546688250181,0.0,9546.832616108864,11069.734233485464,15724.929920352586,46148.43140346159,4.785264089872964,1.9846907213527807,3197573,Axonal,3140,0.0911167812523474,1.848689589404493,10621.646058874305,73.0479294709987,False
