cell_segid,centroid_x,centroid_y,centroid_z,cell_type_x,cell_subtype,id,cell_type_y,pt_position,soma_x_nm,soma_y_nm,soma_z_nm
648518346349539347,85536,68208,53,pyramidal,pyramidal cell,244,e,[85578 68292    43],342312,342312,3423120
648518346349505739,97760,76592,2044,pyramidal,pyramidal cell,187,e,[97543 76105  2099],390172,390172,3901720
648518346349535363,50736,51312,956,pyramidal,pyramidal cell,351,e,[50737 51357   967],202948,202948,2029480
648518346349538365,63120,58432,1134,pyramidal,pyramidal cell,62,e,[62765 58361  1155],251060,251060,2510600
648518346349538416,95792,72336,1710,pyramidal,pyramidal cell,435,e,[95575 72297  1694],382300,382300,3823000
648518346349537897,99408,51936,2010,pyramidal,pyramidal cell,212,e,[99440 51845  2028],397760,397760,3977600
648518346349539836,55024,62448,1215,pyramidal,pyramidal cell,194,e,[55150 62294  1221],220600,220600,2206000
648518346349539834,50736,57104,971,pyramidal,pyramidal cell,331,e,[50527 57082  1021],202108,202108,2021080
648518346349539359,100336,64256,1227,pyramidal,pyramidal cell,157,e,[100304  64011   1209],401216,401216,4012160
648518346349539569,87936,72352,2101,pyramidal,pyramidal cell,185,e,[87940 72388  2110],351760,351760,3517600
648518346349537835,56800,45680,957,pyramidal,pyramidal cell,170,e,[56737 45633   955],226948,226948,2269480
648518346349538270,80720,59872,2141,pyramidal,pyramidal cell,268,e,[80400 59847  2141],321600,321600,3216000
648518346349523306,61760,72384,1867,pyramidal,pyramidal cell,150,e,[61579 72084  1855],246316,246316,2463160
648518346349539785,82688,70656,1480,pyramidal,pyramidal cell,162,e,[82642 70680  1490],330568,330568,3305680
648518346349537492,99168,71056,2150,pyramidal,pyramidal cell,188,e,[99099 71071  2152],396396,396396,3963960
648518346349537946,45168,62416,1388,pyramidal,pyramidal cell,305,e,[45547 62101  1401],182188,182188,1821880
648518346349534794,112304,45904,646,pyramidal,pyramidal cell,30,e,[112188  45651    656],448752,448752,4487520
648518346349537996,52144,67632,1173,pyramidal,pyramidal cell,254,e,[52100 67500  1209],208400,208400,2084000
648518346349523993,70864,42368,24,pyramidal,pyramidal cell,280,e,[70894 42381    21],283576,283576,2835760
648518346349539845,103776,47792,1558,pyramidal,pyramidal cell,126,e,[103650  47620   1546],414600,414600,4146000
648518346349535192,73280,42096,1083,pyramidal,pyramidal cell,9,e,[73057 42025  1097],292228,292228,2922280
648518346349537828,78976,39392,2145,pyramidal,pyramidal cell,311,e,[79162 39511  2133],316648,316648,3166480
648518346349537844,117088,40528,998,pyramidal,pyramidal cell,297,e,[116983  40916    981],467932,467932,4679320
648518346349538711,103696,54208,228,pyramidal,pyramidal cell,35,e,[103728  54333    304],414912,414912,4149120
648518346349538395,84512,66576,1441,pyramidal,pyramidal cell,205,e,[84556 66629  1427],338224,338224,3382240
648518346349538098,55488,56016,1519,pyramidal,pyramidal cell,6,e,[55393 56047  1495],221572,221572,2215720
648518346349533267,66480,50336,208,pyramidal,pyramidal cell,75,e,[66431 50386   217],265724,265724,2657240
648518346349539781,80912,46112,2021,pyramidal,pyramidal cell,167,e,[81058 46020  2016],324232,324232,3242320
648518346349539885,115520,52848,1194,pyramidal,pyramidal cell,124,e,[115294  52755   1198],461176,461176,4611760
648518346349537851,62800,70672,523,pyramidal,pyramidal cell,338,e,[62856 70644   500],251424,251424,2514240
648518346349536811,64320,74736,686,pyramidal,pyramidal cell,249,e,[64316 73978   683],257264,257264,2572640
648518346349537641,77376,55856,167,pyramidal,pyramidal cell,116,e,[77180 55980   185],308720,308720,3087200
648518346349537989,68512,66528,1503,pyramidal,pyramidal cell,153,e,[68651 66517  1528],274604,274604,2746040
648518346349539433,49056,55936,1976,pyramidal,pyramidal cell,361,e,[49131 56170  1977],196524,196524,1965240
648518346349540017,100992,47328,1125,pyramidal,pyramidal cell,15,e,[101015  47380   1116],404060,404060,4040600
648518346349538440,81552,52528,1202,pyramidal,pyramidal cell,56,e,[81567 52542  1219],326268,326268,3262680
648518346349538527,71776,54752,1155,pyramidal,pyramidal cell,430,e,[71922 54922  1173],287688,287688,2876880
648518346349493472,107888,38544,2147,pyramidal,pyramidal cell,314,e,[107966  39144   2143],431864,431864,4318640
648518346349539804,108608,54368,1575,pyramidal,pyramidal cell,92,e,[108640  53793   1569],434560,434560,4345600
648518346349534292,72720,46192,1937,pyramidal,pyramidal cell,200,e,[72694 46249  1928],290776,290776,2907760
648518346349531774,87296,46304,2098,pyramidal,pyramidal cell,169,e,[87358 46400  2156],349432,349432,3494320
648518346349536924,97536,63936,2114,pyramidal,pyramidal cell,276,e,[97439 64220  2144],389756,389756,3897560
648518346349539809,103584,50192,272,pyramidal,pyramidal cell,28,e,[103609  50188    284],414436,414436,4144360
648518346349536391,110512,58720,46,pyramidal,pyramidal cell,262,e,[110245  59258     92],440980,440980,4409800
648518346349539803,75184,50272,93,pyramidal,pyramidal cell,455,e,[75110 50367   120],300440,300440,3004400
648518346349538378,68208,51904,626,pyramidal,pyramidal cell,77,e,[68044 51693   638],272176,272176,2721760
648518346349537486,69968,38016,1515,pyramidal,pyramidal cell,146,e,[69807 37857  1486],279228,279228,2792280
648518346349536997,108208,76416,779,pyramidal,pyramidal cell,301,e,[108355  76345    767],433420,433420,4334200
648518346349536988,100960,43632,898,pyramidal,pyramidal cell,16,e,[100898  43550    891],403592,403592,4035920
648518346349539586,77760,74848,830,pyramidal,pyramidal cell,271,e,[77587 74922   813],310348,310348,3103480
648518346349539390,62496,63008,2143,pyramidal,pyramidal cell,196,e,[62316 63307  2085],249264,249264,2492640
648518346349540051,111376,61984,1179,pyramidal,pyramidal cell,37,e,[111223  61856   1187],444892,444892,4448920
648518346349537657,71328,58560,671,pyramidal,pyramidal cell,70,e,[71214 58585   671],284856,284856,2848560
648518346349534289,67856,43616,469,pyramidal,pyramidal cell,96,e,[67437 43700   469],269748,269748,2697480
648518346349538157,70880,43616,646,pyramidal,pyramidal cell,130,e,[70608 43734   677],282432,282432,2824320
648518346349539097,84608,46304,289,pyramidal,pyramidal cell,443,e,[84838 46321   304],339352,339352,3393520
648518346349531362,93024,37920,1926,pyramidal,pyramidal cell,166,e,[93051 37990  1934],372204,372204,3722040
648518346349539887,87552,58480,1418,pyramidal,pyramidal cell,1,e,[87695 58686  1399],350780,350780,3507800
648518346349539825,87728,46192,1372,pyramidal,pyramidal cell,99,e,[87733 46096  1357],350932,350932,3509320
648518346349539896,92960,56832,1178,pyramidal,pyramidal cell,68,e,[92854 56569  1165],371416,371416,3714160
648518346349539768,99600,46176,1777,pyramidal,pyramidal cell,138,e,[99702 46391  1798],398808,398808,3988080
648518346349539070,97424,59904,256,pyramidal,pyramidal cell,34,e,[97433 59932   264],389732,389732,3897320
648518346349538336,70272,54384,1757,pyramidal,pyramidal cell,444,e,[70253 54531  1752],281012,281012,2810120
648518346349537860,59232,51072,1030,pyramidal,pyramidal cell,12,e,[59368 51231  1053],237472,237472,2374720
648518346349531230,52512,46192,735,pyramidal,pyramidal cell,286,e,[52771 46251   746],211084,211084,2110840
648518346349539892,95296,58544,617,pyramidal,pyramidal cell,33,e,[95293 58588   624],381172,381172,3811720
648518346349523981,55920,44192,20,pyramidal,pyramidal cell,282,e,[55842 44113    21],223368,223368,2233680
648518346349520120,117632,50576,928,pyramidal,pyramidal cell,316,e,[117134  50560    944],468536,468536,4685360
648518346349538259,82288,70912,2098,pyramidal,pyramidal cell,184,e,[82226 71048  2103],328904,328904,3289040
648518346349538782,109568,43056,45,pyramidal,pyramidal cell,292,e,[109728  43293     38],438912,438912,4389120
648518346349539961,91792,58560,286,pyramidal,pyramidal cell,42,e,[91807 58804   292],367228,367228,3672280
648518346349538332,77488,66176,1178,pyramidal,pyramidal cell,174,e,[77051 66052  1202],308204,308204,3082040
648518346349533811,82432,55696,153,pyramidal,pyramidal cell,456,e,[82249 55968   163],328996,328996,3289960
648518346349536788,69680,67968,373,pyramidal,pyramidal cell,144,e,[69426 67970   396],277704,277704,2777040
648518346349535847,107488,63920,1419,pyramidal,pyramidal cell,108,e,[107756  63929   1448],431024,431024,4310240
648518346349538193,100528,67952,1624,pyramidal,pyramidal cell,238,e,[100313  67900   1536],401252,401252,4012520
648518346349539376,92432,70960,1985,pyramidal,pyramidal cell,451,e,[92703 71134  1976],370812,370812,3708120
648518346349527116,111488,72000,219,pyramidal,pyramidal cell,426,uncertain,[111697  72042    224],446788,446788,4467880
648518346349538188,89264,50624,70,pyramidal,pyramidal cell,27,e,[89079 50611    26],356316,356316,3563160
648518346349539795,80720,70960,188,pyramidal,pyramidal cell,265,e,[80729 70999   217],322916,322916,3229160
648518346349538421,88816,46624,58,pyramidal,pyramidal cell,26,e,[88949 46702    24],355796,355796,3557960
648518346349537717,68992,47472,1542,pyramidal,pyramidal cell,448,e,[68995 47167  1536],275980,275980,2759800
648518346349534614,118416,46336,1663,pyramidal,pyramidal cell,296,e,[118125  46210   1672],472500,472500,4725000
648518346349523667,50912,44224,1062,pyramidal,pyramidal cell,288,e,[52102 44781  1091],208408,208408,2084080
648518346349536366,58032,62816,161,pyramidal,pyramidal cell,179,e,[58069 62826   155],232276,232276,2322760
648518346349539755,59344,62672,1420,pyramidal,pyramidal cell,155,e,[59239 62452  1404],236956,236956,2369560
648518346349493487,100144,41104,2151,pyramidal,pyramidal cell,312,e,[100453  41108   2127],401812,401812,4018120
648518346349537853,74304,67920,2025,pyramidal,pyramidal cell,189,e,[74256 67937  2045],297024,297024,2970240
648518346349532086,53472,54544,1932,pyramidal,pyramidal cell,261,e,[53465 54693  1897],213860,213860,2138600
648518346349539110,52608,46352,1465,pyramidal,pyramidal cell,122,e,[52614 46351  1434],210456,210456,2104560
648518346349538053,82000,55568,545,pyramidal,pyramidal cell,41,e,[81913 55285   549],327652,327652,3276520
648518346349539554,63488,68016,230,pyramidal,pyramidal cell,190,e,[63331 67511   255],253324,253324,2533240
648518346349539821,79680,71984,538,pyramidal,pyramidal cell,277,e,[79538 71961   544],318152,318152,3181520
648518346349534360,82912,42288,2050,pyramidal,pyramidal cell,210,e,[83079 42283  2055],332316,332316,3323160
648518346349538451,46384,70352,1056,pyramidal,pyramidal cell,255,e,[46343 69912  1090],185372,185372,1853720
648518346349536312,63136,51552,296,pyramidal,pyramidal cell,76,e,[63014 51600   297],252056,252056,2520560
648518346349539572,73920,58736,1466,pyramidal,pyramidal cell,440,e,[73844 58717  1468],295376,295376,2953760
648518346349535435,54704,67920,1308,pyramidal,pyramidal cell,274,e,[54641 67831  1321],218564,218564,2185640
648518346349539575,85936,50544,397,pyramidal,pyramidal cell,60,e,[85972 50578   390],343888,343888,3438880
648518346349538317,62800,38848,2119,pyramidal,pyramidal cell,206,e,[62653 38644  2135],250612,250612,2506120
648518346349533482,59968,51584,477,pyramidal,pyramidal cell,121,e,[59931 51693   488],239724,239724,2397240
648518346349538278,81584,56512,1150,pyramidal,pyramidal cell,46,e,[81449 56468  1142],325796,325796,3257960
648518346349539901,59744,50944,2125,pyramidal,pyramidal cell,227,e,[59561 50682  2134],238244,238244,2382440
648518346349536534,54272,71008,314,pyramidal,pyramidal cell,428,e,[54407 71047   354],217628,217628,2176280
648518346349539806,55152,50448,404,pyramidal,pyramidal cell,120,e,[54892 50355   384],219568,219568,2195680
648518346349537145,104912,45328,38,pyramidal,pyramidal cell,123,e,[105199  45412     38],420796,420796,4207960
