,centroid_x,centroid_y,centroid_z,cell_segid,cell_type,cell_subtype
486,41680,70784,2134,648518346349529905,pyramidal,pyramidal cell
488,78976,39392,2145,648518346349537828,pyramidal,pyramidal cell
491,117088,40528,998,648518346349537844,pyramidal,pyramidal cell
492,103696,54208,228,648518346349538711,pyramidal,pyramidal cell
500,49536,62672,39,648518346349537472,pyramidal,pyramidal cell
501,84512,66576,1441,648518346349538395,pyramidal,pyramidal cell
502,55488,56016,1519,648518346349538098,pyramidal,pyramidal cell
504,66480,50336,208,648518346349533267,pyramidal,pyramidal cell
507,80912,46112,2021,648518346349539781,pyramidal,pyramidal cell
508,73088,60336,2161,648518346349525972,pyramidal,pyramidal cell
510,115520,52848,1194,648518346349539885,pyramidal,pyramidal cell
511,62800,70672,523,648518346349537851,pyramidal,pyramidal cell
512,48992,51184,289,648518346349528588,pyramidal,pyramidal cell
513,64320,74736,686,648518346349536811,pyramidal,pyramidal cell
518,77376,55856,167,648518346349537641,pyramidal,pyramidal cell
519,68512,66528,1503,648518346349537989,pyramidal,pyramidal cell
529,49056,55936,1976,648518346349539433,pyramidal,pyramidal cell
530,100992,47328,1125,648518346349540017,pyramidal,pyramidal cell
532,81552,52528,1202,648518346349538440,pyramidal,pyramidal cell
533,71776,54752,1155,648518346349538527,pyramidal,pyramidal cell
534,107888,38544,2147,648518346349493472,pyramidal,pyramidal cell
535,108608,54368,1575,648518346349539804,pyramidal,pyramidal cell
537,72720,46192,1937,648518346349534292,pyramidal,pyramidal cell
538,44144,59440,1005,648518346349529376,pyramidal,pyramidal cell
540,72688,41568,2162,648518346349537425,pyramidal,pyramidal cell
541,87296,46304,2098,648518346349531774,pyramidal,pyramidal cell
542,97536,63936,2114,648518346349536924,pyramidal,pyramidal cell
544,103584,50192,272,648518346349539809,pyramidal,pyramidal cell
546,110512,58720,46,648518346349536391,pyramidal,pyramidal cell
547,75184,50272,93,648518346349539803,pyramidal,pyramidal cell
549,68208,51904,626,648518346349538378,pyramidal,pyramidal cell
550,69968,38016,1515,648518346349537486,pyramidal,pyramidal cell
551,108208,76416,779,648518346349536997,pyramidal,pyramidal cell
555,100960,43632,898,648518346349536988,pyramidal,pyramidal cell
556,77760,74848,830,648518346349539586,pyramidal,pyramidal cell
557,62496,63008,2143,648518346349539390,pyramidal,pyramidal cell
558,67056,57504,2161,648518346349537244,pyramidal,pyramidal cell
563,111376,61984,1179,648518346349540051,pyramidal,pyramidal cell
564,71328,58560,671,648518346349537657,pyramidal,pyramidal cell
565,67856,43616,469,648518346349534289,pyramidal,pyramidal cell
566,65952,64336,2159,648518346349526132,pyramidal,pyramidal cell
567,70880,43616,646,648518346349538157,pyramidal,pyramidal cell
568,84608,46304,289,648518346349539097,pyramidal,pyramidal cell
570,93024,37920,1926,648518346349531362,pyramidal,pyramidal cell
572,87552,58480,1418,648518346349539887,pyramidal,pyramidal cell
573,91648,70224,2159,648518346349477155,pyramidal,pyramidal cell
575,87728,46192,1372,648518346349539825,pyramidal,pyramidal cell
581,92960,56832,1178,648518346349539896,pyramidal,pyramidal cell
589,38448,71088,1169,648518346349529438,pyramidal,pyramidal cell
594,99600,46176,1777,648518346349539768,pyramidal,pyramidal cell
597,97424,59904,256,648518346349539070,pyramidal,pyramidal cell
600,70272,54384,1757,648518346349538336,pyramidal,pyramidal cell
602,59232,51072,1030,648518346349537860,pyramidal,pyramidal cell
604,52512,46192,735,648518346349531230,pyramidal,pyramidal cell
605,95296,58544,617,648518346349539892,pyramidal,pyramidal cell
609,55920,44192,20,648518346349523981,pyramidal,pyramidal cell
610,93776,76176,904,648518346349525753,pyramidal,pyramidal cell
612,117632,50576,928,648518346349520120,pyramidal,pyramidal cell
617,82288,70912,2098,648518346349538259,pyramidal,pyramidal cell
618,109568,43056,45,648518346349538782,pyramidal,pyramidal cell
621,91792,58560,286,648518346349539961,pyramidal,pyramidal cell
622,77488,66176,1178,648518346349538332,pyramidal,pyramidal cell
629,82432,55696,153,648518346349533811,pyramidal,pyramidal cell
636,69680,67968,373,648518346349536788,pyramidal,pyramidal cell
638,107488,63920,1419,648518346349535847,pyramidal,pyramidal cell
642,100528,67952,1624,648518346349538193,pyramidal,pyramidal cell
649,92432,70960,1985,648518346349539376,pyramidal,pyramidal cell
650,111488,72000,219,648518346349527116,pyramidal,pyramidal cell
658,89264,50624,70,648518346349538188,pyramidal,pyramidal cell
661,80720,70960,188,648518346349539795,pyramidal,pyramidal cell
664,88816,46624,58,648518346349538421,pyramidal,pyramidal cell
665,68992,47472,1542,648518346349537717,pyramidal,pyramidal cell
666,95104,75744,49,648518346349525720,pyramidal,pyramidal cell
669,118416,46336,1663,648518346349534614,pyramidal,pyramidal cell
670,50912,44224,1062,648518346349523667,pyramidal,pyramidal cell
673,58032,62816,161,648518346349536366,pyramidal,pyramidal cell
674,59344,62672,1420,648518346349539755,pyramidal,pyramidal cell
676,100144,41104,2151,648518346349493487,pyramidal,pyramidal cell
678,74304,67920,2025,648518346349537853,pyramidal,pyramidal cell
679,41424,61424,2154,648518346349530300,pyramidal,pyramidal cell
681,53472,54544,1932,648518346349532086,pyramidal,pyramidal cell
682,52608,46352,1465,648518346349539110,pyramidal,pyramidal cell
683,82000,55568,545,648518346349538053,pyramidal,pyramidal cell
684,63488,68016,230,648518346349539554,pyramidal,pyramidal cell
685,79680,71984,538,648518346349539821,pyramidal,pyramidal cell
686,107184,72688,30,648518346349526971,pyramidal,pyramidal cell
688,82912,42288,2050,648518346349534360,pyramidal,pyramidal cell
689,46384,70352,1056,648518346349538451,pyramidal,pyramidal cell
691,52560,61600,31,648518346349528050,pyramidal,pyramidal cell
692,63136,51552,296,648518346349536312,pyramidal,pyramidal cell
694,89552,75632,1075,648518346349536992,pyramidal,pyramidal cell
699,73920,58736,1466,648518346349539572,pyramidal,pyramidal cell
700,54704,67920,1308,648518346349535435,pyramidal,pyramidal cell
701,85936,50544,397,648518346349539575,pyramidal,pyramidal cell
705,62800,38848,2119,648518346349538317,pyramidal,pyramidal cell
706,59968,51584,477,648518346349533482,pyramidal,pyramidal cell
707,115136,77440,44,648518346349530359,pyramidal,pyramidal cell
708,81584,56512,1150,648518346349538278,pyramidal,pyramidal cell
709,59744,50944,2125,648518346349539901,pyramidal,pyramidal cell
711,54272,71008,314,648518346349536534,pyramidal,pyramidal cell
712,55152,50448,404,648518346349539806,pyramidal,pyramidal cell
713,104912,45328,38,648518346349537145,pyramidal,pyramidal cell
714,43376,66912,1947,648518346349538721,pyramidal,pyramidal cell
715,67728,43232,1997,648518346349538100,pyramidal,pyramidal cell
717,48960,53216,1038,648518346349538462,pyramidal,pyramidal cell
719,104320,46432,596,648518346349533350,pyramidal,pyramidal cell
720,70704,43152,1683,648518346349538291,pyramidal,pyramidal cell
721,40240,67072,1510,648518346349529575,pyramidal,pyramidal cell
722,88704,54768,1372,648518346349538478,pyramidal,pyramidal cell
724,108512,45328,1138,648518346349539071,pyramidal,pyramidal cell
725,96176,50064,40,648518346349523975,pyramidal,pyramidal cell
727,90832,43184,580,648518346349538787,pyramidal,pyramidal cell
729,103968,50656,870,648518346349538410,pyramidal,pyramidal cell
730,118416,79440,2001,648518346349527610,pyramidal,pyramidal cell
732,68944,45472,2141,648518346349538133,pyramidal,pyramidal cell
733,83920,50688,1441,648518346349538466,pyramidal,pyramidal cell
735,105824,51248,1223,648518346349539423,pyramidal,pyramidal cell
736,113152,62976,1638,648518346349531530,pyramidal,pyramidal cell
737,119648,78384,1558,648518346349537446,pyramidal,pyramidal cell
738,85472,51376,1663,648518346349537993,pyramidal,pyramidal cell
739,87712,71792,406,648518346349539865,pyramidal,pyramidal cell
740,88656,46624,493,648518346349537514,pyramidal,pyramidal cell
741,73152,46528,546,648518346349539560,pyramidal,pyramidal cell
742,56848,42416,1279,648518346349537385,pyramidal,pyramidal cell
743,86160,62928,254,648518346349538426,pyramidal,pyramidal cell
744,80896,76864,1480,648518346349538190,pyramidal,pyramidal cell
745,59680,57216,1041,648518346349539906,pyramidal,pyramidal cell
747,117712,51392,1774,648518346349537482,pyramidal,pyramidal cell
748,54656,46576,1245,648518346349539727,pyramidal,pyramidal cell
749,81312,63584,201,648518346349539368,pyramidal,pyramidal cell
750,91936,63008,524,648518346349536966,pyramidal,pyramidal cell
751,100432,37344,2118,648518346349493874,pyramidal,pyramidal cell
752,63552,55440,2038,648518346349538239,pyramidal,pyramidal cell
753,106256,39024,1991,648518346349494577,pyramidal,pyramidal cell
754,86720,63616,1960,648518346349539096,pyramidal,pyramidal cell
755,77504,62992,1685,648518346349539095,pyramidal,pyramidal cell
757,96864,51376,820,648518346349539853,pyramidal,pyramidal cell
758,116816,47296,1264,648518346349539832,pyramidal,pyramidal cell
760,98752,42576,1540,648518346349537687,pyramidal,pyramidal cell
762,111440,63536,445,648518346349540053,pyramidal,pyramidal cell
764,55824,59200,874,648518346349531526,pyramidal,pyramidal cell
767,55232,40624,1127,648518346349538015,pyramidal,pyramidal cell
768,106144,71360,666,648518346349523030,pyramidal,pyramidal cell
769,98608,54976,900,648518346349539599,pyramidal,pyramidal cell
770,58112,67600,381,648518346349523254,pyramidal,pyramidal cell
771,110240,75424,1913,648518346349537609,pyramidal,pyramidal cell
772,68784,50880,1413,648518346349539517,pyramidal,pyramidal cell
775,83808,59376,1702,648518346349537814,pyramidal,pyramidal cell
776,97344,47200,734,648518346349539653,pyramidal,pyramidal cell
778,57952,46672,1541,648518346349537883,pyramidal,pyramidal cell
779,91312,47136,1793,648518346349539828,pyramidal,pyramidal cell
780,67504,56400,1061,648518346349537516,pyramidal,pyramidal cell
781,107680,50768,1905,648518346349537331,pyramidal,pyramidal cell
782,65024,46672,547,648518346349537160,pyramidal,pyramidal cell
783,86560,45440,1067,648518346349537716,pyramidal,pyramidal cell
784,106736,57792,1106,648518346349536680,pyramidal,pyramidal cell
785,64592,63152,1249,648518346349537242,pyramidal,pyramidal cell
786,67856,42912,190,648518346349537167,pyramidal,pyramidal cell
790,115872,63408,181,648518346349534057,pyramidal,pyramidal cell
791,51152,42784,1860,648518346349536748,pyramidal,pyramidal cell
796,52288,53104,50,648518346349528559,pyramidal,pyramidal cell
798,71184,75696,1315,648518346349527315,pyramidal,pyramidal cell
799,111888,71600,481,648518346349537515,pyramidal,pyramidal cell
800,96064,46960,261,648518346349532739,pyramidal,pyramidal cell
803,115376,71376,1380,648518346349532180,pyramidal,pyramidal cell
807,88288,50928,754,648518346349539789,pyramidal,pyramidal cell
808,73408,76560,1561,648518346349537611,pyramidal,pyramidal cell
809,91040,63408,1729,648518346349537718,pyramidal,pyramidal cell
810,101440,55024,1413,648518346349539464,pyramidal,pyramidal cell
811,54448,63312,2072,648518346349539336,pyramidal,pyramidal cell
813,50592,69744,54,648518346349527390,pyramidal,pyramidal cell
817,82816,75536,489,648518346349539513,pyramidal,pyramidal cell
819,67552,46832,155,648518346349536679,pyramidal,pyramidal cell
823,53584,51056,1670,648518346349524141,pyramidal,pyramidal cell
826,110672,48448,63,648518346349537271,pyramidal,pyramidal cell
827,104592,68880,58,648518346349535300,pyramidal,pyramidal cell
828,73280,67424,1584,648518346349537513,pyramidal,pyramidal cell
829,91440,72736,1089,648518346349539590,pyramidal,pyramidal cell
830,111968,44512,2107,648518346349531263,pyramidal,pyramidal cell
833,76800,41072,63,648518346349537798,pyramidal,pyramidal cell
835,72384,48224,76,648518346349536809,pyramidal,pyramidal cell
836,53312,53872,2116,648518346349528349,pyramidal,pyramidal cell
837,110176,60624,2112,648518346349538296,pyramidal,pyramidal cell
838,117392,74544,335,648518346349537275,pyramidal,pyramidal cell
839,76608,49440,2113,648518346349539780,pyramidal,pyramidal cell
842,110672,56240,77,648518346349532006,pyramidal,pyramidal cell
843,118528,68912,1374,648518346349535473,pyramidal,pyramidal cell
844,114928,57984,2111,648518346349539430,pyramidal,pyramidal cell
846,105072,64592,2106,648518346349537808,pyramidal,pyramidal cell
847,67136,73280,2105,648518346349537075,pyramidal,pyramidal cell
848,71520,45600,72,648518346349538298,pyramidal,pyramidal cell
849,86352,76672,1305,648518346349525571,pyramidal,pyramidal cell
850,100752,49456,2099,648518346349537255,pyramidal,pyramidal cell
851,68272,53216,2098,648518346349537434,pyramidal,pyramidal cell
852,85808,73568,2086,648518346349537741,pyramidal,pyramidal cell
853,93648,45536,2065,648518346349539080,pyramidal,pyramidal cell
855,90304,53552,101,648518346349537153,pyramidal,pyramidal cell
857,69200,64624,626,648518346349534079,pyramidal,pyramidal cell
858,77536,72736,211,648518346349538431,pyramidal,pyramidal cell
859,112016,58128,1511,648518346349537297,pyramidal,pyramidal cell
860,113024,74240,1442,648518346349537243,pyramidal,pyramidal cell
862,66880,56704,112,648518346349537487,pyramidal,pyramidal cell
863,82944,60768,178,648518346349531851,pyramidal,pyramidal cell
864,78512,39920,1973,648518346349491311,pyramidal,pyramidal cell
865,65136,41120,2077,648518346349537984,pyramidal,pyramidal cell
867,68800,74000,287,648518346349523868,pyramidal,pyramidal cell
868,85376,65392,1861,648518346349531414,pyramidal,pyramidal cell
869,79360,49648,822,648518346349538235,pyramidal,pyramidal cell
870,113552,45312,1707,648518346349538070,pyramidal,pyramidal cell
871,86496,74256,726,648518346349536354,pyramidal,pyramidal cell
872,80288,66240,714,648518346349535074,pyramidal,pyramidal cell
873,108272,73600,2023,648518346349507351,pyramidal,pyramidal cell
874,116192,58112,923,648518346349537961,pyramidal,pyramidal cell
875,88112,68640,2015,648518346349537790,pyramidal,pyramidal cell
876,63248,44400,2066,648518346349538286,pyramidal,pyramidal cell
877,111312,60480,679,648518346349532796,pyramidal,pyramidal cell
878,108656,69488,214,648518346349537649,pyramidal,pyramidal cell
879,71072,48928,860,648518346349533058,pyramidal,pyramidal cell
880,62288,36368,2031,648518346349531192,pyramidal,pyramidal cell
881,89552,44496,1900,648518346349536921,pyramidal,pyramidal cell
882,78576,44400,594,648518346349539886,pyramidal,pyramidal cell
883,115504,53152,712,648518346349492682,pyramidal,pyramidal cell
884,70176,49072,2010,648518346349538102,pyramidal,pyramidal cell
885,58992,52704,1977,648518346349539794,pyramidal,pyramidal cell
886,110192,73200,617,648518346349537583,pyramidal,pyramidal cell
887,62064,61520,145,648518346349539435,pyramidal,pyramidal cell
888,82768,72912,915,648518346349538746,pyramidal,pyramidal cell
889,113600,48528,1492,648518346349524063,pyramidal,pyramidal cell
891,115744,44960,1231,648518346349537007,pyramidal,pyramidal cell
892,96544,76880,1587,648518346349537901,pyramidal,pyramidal cell
893,103712,44304,874,648518346349540057,pyramidal,pyramidal cell
894,101440,65360,672,648518346349539601,pyramidal,pyramidal cell
895,58448,53008,1621,648518346349538368,pyramidal,pyramidal cell
896,95872,65136,1787,648518346349531729,pyramidal,pyramidal cell
897,61616,54016,385,648518346349539401,pyramidal,pyramidal cell
898,84480,61632,1271,648518346349539366,pyramidal,pyramidal cell
899,48784,72848,532,648518346349530465,pyramidal,pyramidal cell
900,92320,45744,110,648518346349537840,pyramidal,pyramidal cell
901,101888,52960,708,648518346349539539,pyramidal,pyramidal cell
902,112720,56528,1765,648518346349538005,pyramidal,pyramidal cell
903,102144,69712,1874,648518346349538231,pyramidal,pyramidal cell
904,96848,65264,674,648518346349539852,pyramidal,pyramidal cell
905,77232,44160,1226,648518346349531254,pyramidal,pyramidal cell
906,112464,78160,1291,648518346349527158,pyramidal,pyramidal cell
907,75536,56512,546,648518346349537509,pyramidal,pyramidal cell
908,95696,44208,891,648518346349534855,pyramidal,pyramidal cell
909,61856,69104,1744,648518346349536929,pyramidal,pyramidal cell
910,58384,73344,363,648518346349536753,pyramidal,pyramidal cell
911,84128,48560,119,648518346349533227,pyramidal,pyramidal cell
912,62656,57872,141,648518346349534580,pyramidal,pyramidal cell
913,96544,69952,171,648518346349537047,pyramidal,pyramidal cell
914,109152,41248,1490,648518346349533719,pyramidal,pyramidal cell
915,77280,61904,417,648518346349537038,pyramidal,pyramidal cell
916,103952,73872,1654,648518346349537003,pyramidal,pyramidal cell
917,98528,61456,478,648518346349537042,pyramidal,pyramidal cell
918,62976,64592,502,648518346349539067,pyramidal,pyramidal cell
919,113936,65696,771,648518346349496405,pyramidal,pyramidal cell
920,88672,74336,269,648518346349521083,pyramidal,pyramidal cell
921,81296,53648,1668,648518346349538112,pyramidal,pyramidal cell
922,75568,52336,1387,648518346349538209,pyramidal,pyramidal cell
923,108240,44848,281,648518346349539079,pyramidal,pyramidal cell
924,71808,66240,1310,648518346349539591,pyramidal,pyramidal cell
925,109552,53712,117,648518346349537848,pyramidal,pyramidal cell
926,107040,61104,1577,648518346349537270,pyramidal,pyramidal cell
927,76528,52176,796,648518346349537391,pyramidal,pyramidal cell
928,83936,39936,1563,648518346349539333,pyramidal,pyramidal cell
930,116144,61696,1971,648518346349532066,pyramidal,pyramidal cell
931,101168,56688,696,648518346349537818,pyramidal,pyramidal cell
932,87264,40816,290,648518346349540048,pyramidal,pyramidal cell
933,67584,69712,1874,648518346349536159,pyramidal,pyramidal cell
934,70096,73120,774,648518346349537102,pyramidal,pyramidal cell
935,73776,64560,367,648518346349538730,pyramidal,pyramidal cell
936,65952,64912,852,648518346349539820,pyramidal,pyramidal cell
937,65168,49856,1451,648518346349539840,pyramidal,pyramidal cell
938,85184,61920,589,648518346349540055,pyramidal,pyramidal cell
939,92816,40960,2014,648518346349539103,pyramidal,pyramidal cell
940,94480,52592,2045,648518346349537991,pyramidal,pyramidal cell
941,94512,48320,1257,648518346349519354,pyramidal,pyramidal cell
942,59808,61616,776,648518346349539598,pyramidal,pyramidal cell
943,109424,49168,393,648518346349532791,pyramidal,pyramidal cell
944,73536,64832,691,648518346349538033,pyramidal,pyramidal cell
945,87216,41104,1500,648518346349532295,pyramidal,pyramidal cell
946,95776,52992,1779,648518346349539579,pyramidal,pyramidal cell
947,51488,57648,149,648518346349538715,pyramidal,pyramidal cell
948,103824,52864,1731,648518346349534048,pyramidal,pyramidal cell
949,75104,52368,1809,648518346349537300,pyramidal,pyramidal cell
950,51264,70320,672,648518346349536769,pyramidal,pyramidal cell
951,56848,74240,1744,648518346349533867,pyramidal,pyramidal cell
952,71088,40112,1459,648518346349537081,pyramidal,pyramidal cell
953,65136,53728,1859,648518346349539524,pyramidal,pyramidal cell
954,116304,60800,1485,648518346349503588,pyramidal,pyramidal cell
955,59648,61136,1816,648518346349539076,pyramidal,pyramidal cell
956,50096,65824,1735,648518346349537489,pyramidal,pyramidal cell
957,96096,57856,1764,648518346349535823,pyramidal,pyramidal cell
958,102112,73808,905,648518346349537615,pyramidal,pyramidal cell
959,115552,69552,335,648518346349537564,pyramidal,pyramidal cell
960,67008,60768,1439,648518346349539448,pyramidal,pyramidal cell
